group,family,conapesca
Escama,Mugilidae,Lisa
Escama,Haemulidae,Mojarra
Escama,Centropomidae,Robalo
Escama,Scombridae,Sierra
Escama,Carangidae,Jurel
Escama,Scombridae,Peto
Escama,Sparidae,Besugo
Escama,Scianidae,Corvina
Escama,Lutjanidae,Pargo
Escama,Mugilidae,Lebrancha
Escama,Malacanthidae,Pierna
Escama,Serranidae,Cabrilla
Escama,Serranidae,Mero
Escama,Lutjanidae,Rubia y Villajaiba
Escama,Rachycentridae,Esmedregal
Escama,Scombridae,Atun
Escama,Haemulidae,Ronco
Escama,Carangidae,Pampano
Escama,Scianidae,Berrugata
Escama,Scombridae,Barrilete
Escama,Scombridae,Bonito
Escama,Serranidae,Baqueta
Escama,Scombridae,Macarela
Invertebrado,Haliotidae,Abulon
Invertebrado,Strongylocentrotidae,Erizo
Invertebrado,Palinuridae,Langosta
Invertebrado,Holothuroidea,Pepino de mar